	img	cm	label
CN94_D1_31.06x25.96	../dataset/tile\CN94_D1\CN94_D1-31.06-25.96.jpeg	CN94_D1_31.06x25.96	p120
CN94_D1_31.08x24.97	../dataset/tile\CN94_D1\CN94_D1-31.08-24.97.jpeg	CN94_D1_31.08x24.97	p120
CN94_D1_31.09x23.97	../dataset/tile\CN94_D1\CN94_D1-31.09-23.97.jpeg	CN94_D1_31.09x23.97	p120
CN94_D1_31.1x22.96	../dataset/tile\CN94_D1\CN94_D1-31.1-22.96.jpeg	CN94_D1_31.1x22.96	p120
CN94_D1_31.88x1.96	../dataset/tile\CN94_D1\CN94_D1-31.88-1.96.jpeg	CN94_D1_31.88x1.96	p120
CN94_D1_31.88x4	../dataset/tile\CN94_D1\CN94_D1-31.88-4.jpeg	CN94_D1_31.88x4	p120
CN94_D1_31.89x2.99	../dataset/tile\CN94_D1\CN94_D1-31.89-2.99.jpeg	CN94_D1_31.89x2.99	p120
CN94_D1_31.89x5.97	../dataset/tile\CN94_D1\CN94_D1-31.89-5.97.jpeg	CN94_D1_31.89x5.97	p120
CN94_D1_31.89x6.99	../dataset/tile\CN94_D1\CN94_D1-31.89-6.99.jpeg	CN94_D1_31.89x6.99	p120
CN94_D1_31.9x4.99	../dataset/tile\CN94_D1\CN94_D1-31.9-4.99.jpeg	CN94_D1_31.9x4.99	p120
CN94_D1_31.91x8	../dataset/tile\CN94_D1\CN94_D1-31.91-8.jpeg	CN94_D1_31.91x8	p120
CN94_D1_31.92x19.97	../dataset/tile\CN94_D1\CN94_D1-31.92-19.97.jpeg	CN94_D1_31.92x19.97	p120
CN94_D1_31.92x20.98	../dataset/tile\CN94_D1\CN94_D1-31.92-20.98.jpeg	CN94_D1_31.92x20.98	p120
CN94_D1_31.93x25.94	../dataset/tile\CN94_D1\CN94_D1-31.93-25.94.jpeg	CN94_D1_31.93x25.94	p120
CN94_D1_31.94x22.93	../dataset/tile\CN94_D1\CN94_D1-31.94-22.93.jpeg	CN94_D1_31.94x22.93	p120
CN94_D1_31.94x24.94	../dataset/tile\CN94_D1\CN94_D1-31.94-24.94.jpeg	CN94_D1_31.94x24.94	p120
CN94_D1_31.96x23.94	../dataset/tile\CN94_D1\CN94_D1-31.96-23.94.jpeg	CN94_D1_31.96x23.94	p120
CN94_D1_5x10.02	../dataset/tile\CN94_D1\CN94_D1-5-10.02.jpeg	CN94_D1_5x10.02	p120
CN94_D1_5.92x10.02	../dataset/tile\CN94_D1\CN94_D1-5.92-10.02.jpeg	CN94_D1_5.92x10.02	p120
CN94_D1_5.93x8.05	../dataset/tile\CN94_D1\CN94_D1-5.93-8.05.jpeg	CN94_D1_5.93x8.05	p120
CN94_D1_5.94x9.05	../dataset/tile\CN94_D1\CN94_D1-5.94-9.05.jpeg	CN94_D1_5.94x9.05	p120
CN94_D1_5.95x11.02	../dataset/tile\CN94_D1\CN94_D1-5.95-11.02.jpeg	CN94_D1_5.95x11.02	p120
CN94_D1_6.97x11.03	../dataset/tile\CN94_D1\CN94_D1-6.97-11.03.jpeg	CN94_D1_6.97x11.03	p120
CN94_D1_6.98x6.08	../dataset/tile\CN94_D1\CN94_D1-6.98-6.08.jpeg	CN94_D1_6.98x6.08	p120
CN94_D1_6.98x8.05	../dataset/tile\CN94_D1\CN94_D1-6.98-8.05.jpeg	CN94_D1_6.98x8.05	p120
CN94_D1_6.98x9.05	../dataset/tile\CN94_D1\CN94_D1-6.98-9.05.jpeg	CN94_D1_6.98x9.05	p120
CN94_D1_6.99x7.07	../dataset/tile\CN94_D1\CN94_D1-6.99-7.07.jpeg	CN94_D1_6.99x7.07	p120
CN94_D1_7.01x10	../dataset/tile\CN94_D1\CN94_D1-7.01-10.jpeg	CN94_D1_7.01x10	p120
CN94_D1_7.01x12.04	../dataset/tile\CN94_D1\CN94_D1-7.01-12.04.jpeg	CN94_D1_7.01x12.04	p120
CN94_D1_7.04x27.11	../dataset/tile\CN94_D1\CN94_D1-7.04-27.11.jpeg	CN94_D1_7.04x27.11	p120
CN94_D1_7.04x28.1	../dataset/tile\CN94_D1\CN94_D1-7.04-28.1.jpeg	CN94_D1_7.04x28.1	p120
CN94_D1_7.05x26.03	../dataset/tile\CN94_D1\CN94_D1-7.05-26.03.jpeg	CN94_D1_7.05x26.03	p120
CN94_D1_7.95x6.07	../dataset/tile\CN94_D1\CN94_D1-7.95-6.07.jpeg	CN94_D1_7.95x6.07	p120
CN94_D1_7.96x5.05	../dataset/tile\CN94_D1\CN94_D1-7.96-5.05.jpeg	CN94_D1_7.96x5.05	p120
CN94_D1_7.97x7.05	../dataset/tile\CN94_D1\CN94_D1-7.97-7.05.jpeg	CN94_D1_7.97x7.05	p120
CN94_D1_7.98x13	../dataset/tile\CN94_D1\CN94_D1-7.98-13.jpeg	CN94_D1_7.98x13	p120
CN94_D1_7.98x9.01	../dataset/tile\CN94_D1\CN94_D1-7.98-9.01.jpeg	CN94_D1_7.98x9.01	p120
CN94_D1_7.99x11.02	../dataset/tile\CN94_D1\CN94_D1-7.99-11.02.jpeg	CN94_D1_7.99x11.02	p120
CN94_D1_7.99x12.01	../dataset/tile\CN94_D1\CN94_D1-7.99-12.01.jpeg	CN94_D1_7.99x12.01	p120
CN94_D1_7.99x8.04	../dataset/tile\CN94_D1\CN94_D1-7.99-8.04.jpeg	CN94_D1_7.99x8.04	p120
CN94_D1_8x30.12	../dataset/tile\CN94_D1\CN94_D1-8-30.12.jpeg	CN94_D1_8x30.12	p120
CN94_D1_8.01x10.03	../dataset/tile\CN94_D1\CN94_D1-8.01-10.03.jpeg	CN94_D1_8.01x10.03	p120
CN94_D1_8.01x26.01	../dataset/tile\CN94_D1\CN94_D1-8.01-26.01.jpeg	CN94_D1_8.01x26.01	p120
CN94_D1_8.01x27.08	../dataset/tile\CN94_D1\CN94_D1-8.01-27.08.jpeg	CN94_D1_8.01x27.08	p120
CN94_D1_8.01x28.06	../dataset/tile\CN94_D1\CN94_D1-8.01-28.06.jpeg	CN94_D1_8.01x28.06	p120
CN94_D1_8.01x29.1	../dataset/tile\CN94_D1\CN94_D1-8.01-29.1.jpeg	CN94_D1_8.01x29.1	p120
CN94_D1_8.99x5	../dataset/tile\CN94_D1\CN94_D1-8.99-5.jpeg	CN94_D1_8.99x5	p120
CN94_D1_9.04x3.06	../dataset/tile\CN94_D1\CN94_D1-9.04-3.06.jpeg	CN94_D1_9.04x3.06	p120
CN94_D1_9.04x4.06	../dataset/tile\CN94_D1\CN94_D1-9.04-4.06.jpeg	CN94_D1_9.04x4.06	p120
CN94_D1_9.04x7.04	../dataset/tile\CN94_D1\CN94_D1-9.04-7.04.jpeg	CN94_D1_9.04x7.04	p120
CN94_D1_9.04x8.99	../dataset/tile\CN94_D1\CN94_D1-9.04-8.99.jpeg	CN94_D1_9.04x8.99	p120
CN94_D1_9.06x25.06	../dataset/tile\CN94_D1\CN94_D1-9.06-25.06.jpeg	CN94_D1_9.06x25.06	p120
CN94_D1_9.06x6.07	../dataset/tile\CN94_D1\CN94_D1-9.06-6.07.jpeg	CN94_D1_9.06x6.07	p120
CN94_D1_9.07x13	../dataset/tile\CN94_D1\CN94_D1-9.07-13.jpeg	CN94_D1_9.07x13	p120
CN94_D1_9.07x28.06	../dataset/tile\CN94_D1\CN94_D1-9.07-28.06.jpeg	CN94_D1_9.07x28.06	p120
CN94_D1_9.07x8.03	../dataset/tile\CN94_D1\CN94_D1-9.07-8.03.jpeg	CN94_D1_9.07x8.03	p120
CN94_D1_9.09x10.03	../dataset/tile\CN94_D1\CN94_D1-9.09-10.03.jpeg	CN94_D1_9.09x10.03	p120
CN94_D1_9.09x11.02	../dataset/tile\CN94_D1\CN94_D1-9.09-11.02.jpeg	CN94_D1_9.09x11.02	p120
CN94_D1_9.09x27.06	../dataset/tile\CN94_D1\CN94_D1-9.09-27.06.jpeg	CN94_D1_9.09x27.06	p120
CN94_D1_9.09x31.08	../dataset/tile\CN94_D1\CN94_D1-9.09-31.08.jpeg	CN94_D1_9.09x31.08	p120
CN94_D1_9.09x32.11	../dataset/tile\CN94_D1\CN94_D1-9.09-32.11.jpeg	CN94_D1_9.09x32.11	p120
CN94_D1_9.1x26.1	../dataset/tile\CN94_D1\CN94_D1-9.1-26.1.jpeg	CN94_D1_9.1x26.1	p120
CN94_D1_9.1x29.06	../dataset/tile\CN94_D1\CN94_D1-9.1-29.06.jpeg	CN94_D1_9.1x29.06	p120
CN94_D1_9.11x12.02	../dataset/tile\CN94_D1\CN94_D1-9.11-12.02.jpeg	CN94_D1_9.11x12.02	p120
CN94_D1_9.11x30.09	../dataset/tile\CN94_D1\CN94_D1-9.11-30.09.jpeg	CN94_D1_9.11x30.09	p120
CN94_D1_9.91x3.02	../dataset/tile\CN94_D1\CN94_D1-9.91-3.02.jpeg	CN94_D1_9.91x3.02	p120
CN94_D1_9.92x4.02	../dataset/tile\CN94_D1\CN94_D1-9.92-4.02.jpeg	CN94_D1_9.92x4.02	p120
CN94_D1_9.92x5	../dataset/tile\CN94_D1\CN94_D1-9.92-5.jpeg	CN94_D1_9.92x5	p120
CN94_D1_9.92x7	../dataset/tile\CN94_D1\CN94_D1-9.92-7.jpeg	CN94_D1_9.92x7	p120
CN94_D1_9.93x10.01	../dataset/tile\CN94_D1\CN94_D1-9.93-10.01.jpeg	CN94_D1_9.93x10.01	p120
CN94_D1_9.93x12.98	../dataset/tile\CN94_D1\CN94_D1-9.93-12.98.jpeg	CN94_D1_9.93x12.98	p120
CN94_D1_9.93x6.05	../dataset/tile\CN94_D1\CN94_D1-9.93-6.05.jpeg	CN94_D1_9.93x6.05	p120
CN94_D1_9.93x9.01	../dataset/tile\CN94_D1\CN94_D1-9.93-9.01.jpeg	CN94_D1_9.93x9.01	p120
CN94_D1_9.94x8.05	../dataset/tile\CN94_D1\CN94_D1-9.94-8.05.jpeg	CN94_D1_9.94x8.05	p120
CN94_D1_9.95x11.98	../dataset/tile\CN94_D1\CN94_D1-9.95-11.98.jpeg	CN94_D1_9.95x11.98	p120
CN94_D1_9.95x2	../dataset/tile\CN94_D1\CN94_D1-9.95-2.jpeg	CN94_D1_9.95x2	p120
CN94_D1_9.95x29.04	../dataset/tile\CN94_D1\CN94_D1-9.95-29.04.jpeg	CN94_D1_9.95x29.04	p120
CN94_D1_9.96x27.04	../dataset/tile\CN94_D1\CN94_D1-9.96-27.04.jpeg	CN94_D1_9.96x27.04	p120
CN94_D1_9.97x23.01	../dataset/tile\CN94_D1\CN94_D1-9.97-23.01.jpeg	CN94_D1_9.97x23.01	p120
CN94_D1_9.97x25.02	../dataset/tile\CN94_D1\CN94_D1-9.97-25.02.jpeg	CN94_D1_9.97x25.02	p120
CN94_D1_9.97x28.04	../dataset/tile\CN94_D1\CN94_D1-9.97-28.04.jpeg	CN94_D1_9.97x28.04	p120
CN94_D1_9.98x30.06	../dataset/tile\CN94_D1\CN94_D1-9.98-30.06.jpeg	CN94_D1_9.98x30.06	p120
CN94_D1_9.99x25.98	../dataset/tile\CN94_D1\CN94_D1-9.99-25.98.jpeg	CN94_D1_9.99x25.98	p120
CN94_D1_9.99x31.07	../dataset/tile\CN94_D1\CN94_D1-9.99-31.07.jpeg	CN94_D1_9.99x31.07	p120
CN94_D2_1.95x7.01	../dataset/tile\CN94_D2\CN94_D2-1.95-7.01.jpeg	CN94_D2_1.95x7.01	p120
CN94_D2_1.95x8.99	../dataset/tile\CN94_D2\CN94_D2-1.95-8.99.jpeg	CN94_D2_1.95x8.99	p120
CN94_D2_1.96x7.99	../dataset/tile\CN94_D2\CN94_D2-1.96-7.99.jpeg	CN94_D2_1.96x7.99	p120
CN94_D2_1.98x26.97	../dataset/tile\CN94_D2\CN94_D2-1.98-26.97.jpeg	CN94_D2_1.98x26.97	p120
CN94_D2_1.98x9.98	../dataset/tile\CN94_D2\CN94_D2-1.98-9.98.jpeg	CN94_D2_1.98x9.98	p120
CN94_D2_10.87x24.9	../dataset/tile\CN94_D2\CN94_D2-10.87-24.9.jpeg	CN94_D2_10.87x24.9	p120
CN94_D2_10.92x22.89	../dataset/tile\CN94_D2\CN94_D2-10.92-22.89.jpeg	CN94_D2_10.92x22.89	p120
CN94_D2_10.92x23.87	../dataset/tile\CN94_D2\CN94_D2-10.92-23.87.jpeg	CN94_D2_10.92x23.87	p120
CN94_D2_10.92x25.89	../dataset/tile\CN94_D2\CN94_D2-10.92-25.89.jpeg	CN94_D2_10.92x25.89	p120
CN94_D2_10.92x26.89	../dataset/tile\CN94_D2\CN94_D2-10.92-26.89.jpeg	CN94_D2_10.92x26.89	p120
CN94_D2_10.92x27.89	../dataset/tile\CN94_D2\CN94_D2-10.92-27.89.jpeg	CN94_D2_10.92x27.89	p120
CN94_D2_11.96x24.98	../dataset/tile\CN94_D2\CN94_D2-11.96-24.98.jpeg	CN94_D2_11.96x24.98	p120
CN94_D2_11.98x25.99	../dataset/tile\CN94_D2\CN94_D2-11.98-25.99.jpeg	CN94_D2_11.98x25.99	p120
CN94_D2_11.98x27.92	../dataset/tile\CN94_D2\CN94_D2-11.98-27.92.jpeg	CN94_D2_11.98x27.92	p120
CN94_D2_11.99x26.94	../dataset/tile\CN94_D2\CN94_D2-11.99-26.94.jpeg	CN94_D2_11.99x26.94	p120
CN94_D2_16.88x6.98	../dataset/tile\CN94_D2\CN94_D2-16.88-6.98.jpeg	CN94_D2_16.88x6.98	p120
CN94_D2_16.91x3.03	../dataset/tile\CN94_D2\CN94_D2-16.91-3.03.jpeg	CN94_D2_16.91x3.03	p120
CN94_D2_16.93x5	../dataset/tile\CN94_D2\CN94_D2-16.93-5.jpeg	CN94_D2_16.93x5	p120
CN94_D2_16.93x6.02	../dataset/tile\CN94_D2\CN94_D2-16.93-6.02.jpeg	CN94_D2_16.93x6.02	p120
CN94_D2_17.93x6.99	../dataset/tile\CN94_D2\CN94_D2-17.93-6.99.jpeg	CN94_D2_17.93x6.99	p120
CN94_D2_17.94x2.02	../dataset/tile\CN94_D2\CN94_D2-17.94-2.02.jpeg	CN94_D2_17.94x2.02	p120
CN94_D2_17.95x3.02	../dataset/tile\CN94_D2\CN94_D2-17.95-3.02.jpeg	CN94_D2_17.95x3.02	p120
CN94_D2_17.95x4.01	../dataset/tile\CN94_D2\CN94_D2-17.95-4.01.jpeg	CN94_D2_17.95x4.01	p120
CN94_D2_17.96x5.02	../dataset/tile\CN94_D2\CN94_D2-17.96-5.02.jpeg	CN94_D2_17.96x5.02	p120
CN94_D2_17.96x6.03	../dataset/tile\CN94_D2\CN94_D2-17.96-6.03.jpeg	CN94_D2_17.96x6.03	p120
CN94_D2_18.9x6.96	../dataset/tile\CN94_D2\CN94_D2-18.9-6.96.jpeg	CN94_D2_18.9x6.96	p120
CN94_D2_18.92x1.99	../dataset/tile\CN94_D2\CN94_D2-18.92-1.99.jpeg	CN94_D2_18.92x1.99	p120
CN94_D2_18.92x3.01	../dataset/tile\CN94_D2\CN94_D2-18.92-3.01.jpeg	CN94_D2_18.92x3.01	p120
CN94_D2_18.92x3.99	../dataset/tile\CN94_D2\CN94_D2-18.92-3.99.jpeg	CN94_D2_18.92x3.99	p120
CN94_D2_18.93x21.91	../dataset/tile\CN94_D2\CN94_D2-18.93-21.91.jpeg	CN94_D2_18.93x21.91	p120
CN94_D2_18.93x24.91	../dataset/tile\CN94_D2\CN94_D2-18.93-24.91.jpeg	CN94_D2_18.93x24.91	p120
CN94_D2_18.94x26.94	../dataset/tile\CN94_D2\CN94_D2-18.94-26.94.jpeg	CN94_D2_18.94x26.94	p120
CN94_D2_18.94x5.01	../dataset/tile\CN94_D2\CN94_D2-18.94-5.01.jpeg	CN94_D2_18.94x5.01	p120
CN94_D2_18.95x22.92	../dataset/tile\CN94_D2\CN94_D2-18.95-22.92.jpeg	CN94_D2_18.95x22.92	p120
CN94_D2_18.95x23.92	../dataset/tile\CN94_D2\CN94_D2-18.95-23.92.jpeg	CN94_D2_18.95x23.92	p120
CN94_D2_18.95x25.91	../dataset/tile\CN94_D2\CN94_D2-18.95-25.91.jpeg	CN94_D2_18.95x25.91	p120
CN94_D2_18.96x6.01	../dataset/tile\CN94_D2\CN94_D2-18.96-6.01.jpeg	CN94_D2_18.96x6.01	p120
CN94_D2_19.97x6.97	../dataset/tile\CN94_D2\CN94_D2-19.97-6.97.jpeg	CN94_D2_19.97x6.97	p120
CN94_D2_19.98x21.9	../dataset/tile\CN94_D2\CN94_D2-19.98-21.9.jpeg	CN94_D2_19.98x21.9	p120
CN94_D2_19.99x3.99	../dataset/tile\CN94_D2\CN94_D2-19.99-3.99.jpeg	CN94_D2_19.99x3.99	p120
CN94_D2_2x24.01	../dataset/tile\CN94_D2\CN94_D2-2-24.01.jpeg	CN94_D2_2x24.01	p120
CN94_D2_2x28	../dataset/tile\CN94_D2\CN94_D2-2-28.jpeg	CN94_D2_2x28	p120
CN94_D2_2x6.07	../dataset/tile\CN94_D2\CN94_D2-2-6.07.jpeg	CN94_D2_2x6.07	p120
CN94_D2_2.01x25.99	../dataset/tile\CN94_D2\CN94_D2-2.01-25.99.jpeg	CN94_D2_2.01x25.99	p120
CN94_D2_2.01x29.01	../dataset/tile\CN94_D2\CN94_D2-2.01-29.01.jpeg	CN94_D2_2.01x29.01	p120
CN94_D2_2.02x24.99	../dataset/tile\CN94_D2\CN94_D2-2.02-24.99.jpeg	CN94_D2_2.02x24.99	p120
CN94_D2_2.91x7.99	../dataset/tile\CN94_D2\CN94_D2-2.91-7.99.jpeg	CN94_D2_2.91x7.99	p120
CN94_D2_2.91x8.98	../dataset/tile\CN94_D2\CN94_D2-2.91-8.98.jpeg	CN94_D2_2.91x8.98	p120
CN94_D2_2.91x9.95	../dataset/tile\CN94_D2\CN94_D2-2.91-9.95.jpeg	CN94_D2_2.91x9.95	p120
CN94_D2_2.92x6.98	../dataset/tile\CN94_D2\CN94_D2-2.92-6.98.jpeg	CN94_D2_2.92x6.98	p120
CN94_D2_2.94x22.93	../dataset/tile\CN94_D2\CN94_D2-2.94-22.93.jpeg	CN94_D2_2.94x22.93	p120
CN94_D2_2.95x25.96	../dataset/tile\CN94_D2\CN94_D2-2.95-25.96.jpeg	CN94_D2_2.95x25.96	p120
CN94_D2_2.95x27.98	../dataset/tile\CN94_D2\CN94_D2-2.95-27.98.jpeg	CN94_D2_2.95x27.98	p120
CN94_D2_2.96x23.97	../dataset/tile\CN94_D2\CN94_D2-2.96-23.97.jpeg	CN94_D2_2.96x23.97	p120
CN94_D2_2.96x24.97	../dataset/tile\CN94_D2\CN94_D2-2.96-24.97.jpeg	CN94_D2_2.96x24.97	p120
CN94_D2_2.98x26.97	../dataset/tile\CN94_D2\CN94_D2-2.98-26.97.jpeg	CN94_D2_2.98x26.97	p120
CN94_D2_2.98x6.04	../dataset/tile\CN94_D2\CN94_D2-2.98-6.04.jpeg	CN94_D2_2.98x6.04	p120
CN94_D2_20x20.92	../dataset/tile\CN94_D2\CN94_D2-20-20.92.jpeg	CN94_D2_20x20.92	p120
CN94_D2_20.01x3	../dataset/tile\CN94_D2\CN94_D2-20.01-3.jpeg	CN94_D2_20.01x3	p120
CN94_D2_20.02x1.98	../dataset/tile\CN94_D2\CN94_D2-20.02-1.98.jpeg	CN94_D2_20.02x1.98	p120
CN94_D2_20.02x22.91	../dataset/tile\CN94_D2\CN94_D2-20.02-22.91.jpeg	CN94_D2_20.02x22.91	p120
CN94_D2_20.02x23.9	../dataset/tile\CN94_D2\CN94_D2-20.02-23.9.jpeg	CN94_D2_20.02x23.9	p120
CN94_D2_20.02x24.9	../dataset/tile\CN94_D2\CN94_D2-20.02-24.9.jpeg	CN94_D2_20.02x24.9	p120
CN94_D2_20.02x5.99	../dataset/tile\CN94_D2\CN94_D2-20.02-5.99.jpeg	CN94_D2_20.02x5.99	p120
CN94_D2_20.03x25.93	../dataset/tile\CN94_D2\CN94_D2-20.03-25.93.jpeg	CN94_D2_20.03x25.93	p120
CN94_D2_20.03x26.92	../dataset/tile\CN94_D2\CN94_D2-20.03-26.92.jpeg	CN94_D2_20.03x26.92	p120
CN94_D2_20.04x27.94	../dataset/tile\CN94_D2\CN94_D2-20.04-27.94.jpeg	CN94_D2_20.04x27.94	p120
CN94_D2_20.06x5.02	../dataset/tile\CN94_D2\CN94_D2-20.06-5.02.jpeg	CN94_D2_20.06x5.02	p120
CN94_D2_20.87x6.95	../dataset/tile\CN94_D2\CN94_D2-20.87-6.95.jpeg	CN94_D2_20.87x6.95	p120
CN94_D2_20.91x22.87	../dataset/tile\CN94_D2\CN94_D2-20.91-22.87.jpeg	CN94_D2_20.91x22.87	p120
CN94_D2_20.91x27.91	../dataset/tile\CN94_D2\CN94_D2-20.91-27.91.jpeg	CN94_D2_20.91x27.91	p120
CN94_D2_20.92x1.94	../dataset/tile\CN94_D2\CN94_D2-20.92-1.94.jpeg	CN94_D2_20.92x1.94	p120
CN94_D2_20.92x20.87	../dataset/tile\CN94_D2\CN94_D2-20.92-20.87.jpeg	CN94_D2_20.92x20.87	p120
CN94_D2_20.92x21.89	../dataset/tile\CN94_D2\CN94_D2-20.92-21.89.jpeg	CN94_D2_20.92x21.89	p120
CN94_D2_20.92x23.87	../dataset/tile\CN94_D2\CN94_D2-20.92-23.87.jpeg	CN94_D2_20.92x23.87	p120
CN94_D2_20.93x2.96	../dataset/tile\CN94_D2\CN94_D2-20.93-2.96.jpeg	CN94_D2_20.93x2.96	p120
CN94_D2_20.93x24.88	../dataset/tile\CN94_D2\CN94_D2-20.93-24.88.jpeg	CN94_D2_20.93x24.88	p120
CN94_D2_20.93x25.88	../dataset/tile\CN94_D2\CN94_D2-20.93-25.88.jpeg	CN94_D2_20.93x25.88	p120
CN94_D2_20.93x26.9	../dataset/tile\CN94_D2\CN94_D2-20.93-26.9.jpeg	CN94_D2_20.93x26.9	p120
CN94_D2_20.93x4.98	../dataset/tile\CN94_D2\CN94_D2-20.93-4.98.jpeg	CN94_D2_20.93x4.98	p120
CN94_D2_20.93x5.9	../dataset/tile\CN94_D2\CN94_D2-20.93-5.9.jpeg	CN94_D2_20.93x5.9	p120
CN94_D2_20.94x3.96	../dataset/tile\CN94_D2\CN94_D2-20.94-3.96.jpeg	CN94_D2_20.94x3.96	p120
CN94_D2_21.88x25.87	../dataset/tile\CN94_D2\CN94_D2-21.88-25.87.jpeg	CN94_D2_21.88x25.87	p120
CN94_D2_21.88x6.93	../dataset/tile\CN94_D2\CN94_D2-21.88-6.93.jpeg	CN94_D2_21.88x6.93	p120
CN94_D2_21.91x22.87	../dataset/tile\CN94_D2\CN94_D2-21.91-22.87.jpeg	CN94_D2_21.91x22.87	p120
CN94_D2_21.93x1.92	../dataset/tile\CN94_D2\CN94_D2-21.93-1.92.jpeg	CN94_D2_21.93x1.92	p120
CN94_D2_21.93x24.88	../dataset/tile\CN94_D2\CN94_D2-21.93-24.88.jpeg	CN94_D2_21.93x24.88	p120
CN94_D2_21.93x5.95	../dataset/tile\CN94_D2\CN94_D2-21.93-5.95.jpeg	CN94_D2_21.93x5.95	p120
CN94_D2_21.94x2.95	../dataset/tile\CN94_D2\CN94_D2-21.94-2.95.jpeg	CN94_D2_21.94x2.95	p120
CN94_D2_21.94x21.86	../dataset/tile\CN94_D2\CN94_D2-21.94-21.86.jpeg	CN94_D2_21.94x21.86	p120
CN94_D2_21.94x23.89	../dataset/tile\CN94_D2\CN94_D2-21.94-23.89.jpeg	CN94_D2_21.94x23.89	p120
CN94_D2_21.94x26.88	../dataset/tile\CN94_D2\CN94_D2-21.94-26.88.jpeg	CN94_D2_21.94x26.88	p120
CN94_D2_21.94x27.87	../dataset/tile\CN94_D2\CN94_D2-21.94-27.87.jpeg	CN94_D2_21.94x27.87	p120
CN94_D2_21.94x4.95	../dataset/tile\CN94_D2\CN94_D2-21.94-4.95.jpeg	CN94_D2_21.94x4.95	p120
CN94_D2_21.95x3.97	../dataset/tile\CN94_D2\CN94_D2-21.95-3.97.jpeg	CN94_D2_21.95x3.97	p120
CN94_D2_22.98x2.01	../dataset/tile\CN94_D2\CN94_D2-22.98-2.01.jpeg	CN94_D2_22.98x2.01	p120
CN94_D2_22.99x21.94	../dataset/tile\CN94_D2\CN94_D2-22.99-21.94.jpeg	CN94_D2_22.99x21.94	p120
CN94_D2_22.99x23.95	../dataset/tile\CN94_D2\CN94_D2-22.99-23.95.jpeg	CN94_D2_22.99x23.95	p120
CN94_D2_22.99x3.02	../dataset/tile\CN94_D2\CN94_D2-22.99-3.02.jpeg	CN94_D2_22.99x3.02	p120
CN94_D2_22.99x4.01	../dataset/tile\CN94_D2\CN94_D2-22.99-4.01.jpeg	CN94_D2_22.99x4.01	p120
CN94_D2_22.99x6.03	../dataset/tile\CN94_D2\CN94_D2-22.99-6.03.jpeg	CN94_D2_22.99x6.03	p120
CN94_D2_23x26.94	../dataset/tile\CN94_D2\CN94_D2-23-26.94.jpeg	CN94_D2_23x26.94	p120
CN94_D2_23.01x27.96	../dataset/tile\CN94_D2\CN94_D2-23.01-27.96.jpeg	CN94_D2_23.01x27.96	p120
CN94_D2_23.01x5.02	../dataset/tile\CN94_D2\CN94_D2-23.01-5.02.jpeg	CN94_D2_23.01x5.02	p120
CN94_D2_23.01x7.04	../dataset/tile\CN94_D2\CN94_D2-23.01-7.04.jpeg	CN94_D2_23.01x7.04	p120
CN94_D2_23.02x22.94	../dataset/tile\CN94_D2\CN94_D2-23.02-22.94.jpeg	CN94_D2_23.02x22.94	p120
CN94_D2_23.02x24.96	../dataset/tile\CN94_D2\CN94_D2-23.02-24.96.jpeg	CN94_D2_23.02x24.96	p120
CN94_D2_23.03x25.94	../dataset/tile\CN94_D2\CN94_D2-23.03-25.94.jpeg	CN94_D2_23.03x25.94	p120
CN94_D2_23.98x3.02	../dataset/tile\CN94_D2\CN94_D2-23.98-3.02.jpeg	CN94_D2_23.98x3.02	p120
CN94_D2_23.99x22.96	../dataset/tile\CN94_D2\CN94_D2-23.99-22.96.jpeg	CN94_D2_23.99x22.96	p120
CN94_D2_23.99x5.05	../dataset/tile\CN94_D2\CN94_D2-23.99-5.05.jpeg	CN94_D2_23.99x5.05	p120
CN94_D2_24x20.99	../dataset/tile\CN94_D2\CN94_D2-24-20.99.jpeg	CN94_D2_24x20.99	p120
CN94_D2_24x24.98	../dataset/tile\CN94_D2\CN94_D2-24-24.98.jpeg	CN94_D2_24x24.98	p120
CN94_D2_24x25.96	../dataset/tile\CN94_D2\CN94_D2-24-25.96.jpeg	CN94_D2_24x25.96	p120
CN94_D2_24x26.94	../dataset/tile\CN94_D2\CN94_D2-24-26.94.jpeg	CN94_D2_24x26.94	p120
CN94_D2_24x4.03	../dataset/tile\CN94_D2\CN94_D2-24-4.03.jpeg	CN94_D2_24x4.03	p120
CN94_D2_24.01x2.03	../dataset/tile\CN94_D2\CN94_D2-24.01-2.03.jpeg	CN94_D2_24.01x2.03	p120
CN94_D2_24.01x27.94	../dataset/tile\CN94_D2\CN94_D2-24.01-27.94.jpeg	CN94_D2_24.01x27.94	p120
CN94_D2_24.02x23.96	../dataset/tile\CN94_D2\CN94_D2-24.02-23.96.jpeg	CN94_D2_24.02x23.96	p120
CN94_D2_24.02x6.04	../dataset/tile\CN94_D2\CN94_D2-24.02-6.04.jpeg	CN94_D2_24.02x6.04	p120
CN94_D2_24.96x1.99	../dataset/tile\CN94_D2\CN94_D2-24.96-1.99.jpeg	CN94_D2_24.96x1.99	p120
CN94_D2_24.96x20.94	../dataset/tile\CN94_D2\CN94_D2-24.96-20.94.jpeg	CN94_D2_24.96x20.94	p120
CN94_D2_24.96x4	../dataset/tile\CN94_D2\CN94_D2-24.96-4.jpeg	CN94_D2_24.96x4	p120
